timestamp_s,left_knee_ohms,right_knee_ohms
32.85,10.87,
32.86,10.88,
32.87,10.87,
32.88,10.87,
32.89,10.88,
32.9,10.85,
32.91,10.87,
32.92,10.83,
32.911,,14.91
32.921,,14.87
32.931,,14.89
32.941,,14.89
32.951,,14.87
32.961,,14.89
32.971,,14.89
32.981,,14.87
33.094,10.83,
33.104,10.83,
33.114,10.81,
33.124,10.87,
33.134,10.85,
33.144,10.83,
33.154,10.83,
33.164,10.83,
33.173,,14.75
33.183,,14.75
33.193,,14.75
33.203,,14.73
33.213,,14.73
33.223,,14.75
33.233,,14.75
33.243,,14.75
33.34,10.78,
33.35,10.78,
33.36,10.8,
33.37,10.75,
33.38,10.76,
33.39,10.8,
33.4,10.75,
33.41,10.78,
33.388,,14.83
33.398,,14.83
33.408,,14.83
33.418,,14.83
33.428,,14.87
33.438,,14.87
33.448,,14.85
33.458,,14.85
33.572,10.78,
33.582,10.8,
33.592,10.8,
33.602,10.78,
33.612,10.8,
33.622,10.78,
33.632,10.76,
33.642,10.78,
33.632,10.76,14.85
33.642,10.78,14.85
33.652,,14.85
33.662,,14.85
33.672,,14.85
33.682,,14.89
33.692,,14.83
33.702,,14.85
33.808,10.78,
33.818,10.76,
33.828,10.78,
33.838,10.73,
33.848,10.75,
33.858,10.76,
33.868,10.73,
33.878,10.76,
33.864,,14.83
33.874,,14.87
33.884,,14.85
33.894,,14.83
33.904,,14.85
33.914,,14.83
33.924,,14.85
33.934,,14.83
34.047,10.73,
34.057,10.75,
34.067,10.75,
34.077,10.73,
34.087,10.71,
34.097,10.76,
34.107,10.71,
34.117,10.71,
34.112,,14.75
34.122,,14.75
34.132,,14.73
34.142,,14.75
34.152,,14.75
34.162,,14.75
34.172,,14.73
34.182,,14.75
34.285,10.73,
34.295,10.75,
34.305,10.71,
34.315,10.73,
34.325,10.71,
34.335,10.76,
34.345,10.73,
34.355,10.71,
34.349,,14.69
34.359,,14.63
34.369,,14.67
34.379,,14.67
34.389,,14.63
34.399,,14.63
34.409,,14.67
34.419,,14.65
34.522,10.71,
34.532,10.71,
34.542,10.75,
34.552,10.75,
34.562,10.68,
34.572,10.69,
34.582,10.71,
34.592,10.71,
34.586,,14.63
34.596,,14.59
34.606,,14.59
34.616,,14.63
34.626,,14.87
34.636,,14.85
34.646,,15.09
34.656,,15.09
34.762,10.69,
