timestamp_s,left_knee_ohms,right_knee_ohms
55.247,11.01,
55.257,11.01,
55.267,10.99,
55.277,11.06,
55.287,11.06,
55.297,11.06,
55.307,11.04,
55.317,11.09,
55.308,,15.39
55.318,,15.43
55.328,,15.35
55.338,,15.39
55.348,,15.35
55.358,,15.33
55.368,,15.29
55.378,,15.33
55.546,11.43,
55.556,11.38,
55.566,11.34,
55.576,11.39,
55.586,11.38,
55.596,11.36,
55.606,11.34,
55.616,11.29,
55.608,,15.25
55.618,,15.25
55.628,,15.27
55.638,,15.23
55.648,,15.25
55.658,,15.25
55.668,,15.27
55.678,,15.25
55.789,11.57,
55.799,11.62,
55.809,11.62,
55.819,11.68,
55.829,11.66,
55.839,11.7,
55.849,11.71,
55.859,11.71,
55.847,,15.17
55.857,,15.17
55.867,,15.17
55.877,,15.19
55.887,,15.17
55.897,,15.19
55.907,,15.21
55.917,,15.21
56.026,11.43,
56.036,11.43,
56.046,11.39,
56.056,11.38,
56.066,11.39,
56.076,11.36,
56.086,11.32,
56.096,11.32,
56.208,,15.37
56.218,,15.43
56.228,,15.37
56.238,,15.37
56.248,,15.33
56.258,,15.31
56.268,,15.31
56.278,,15.29
56.267,11.57,
56.277,11.64,
56.287,11.68,
56.297,11.64,
56.307,11.68,
56.317,11.71,
56.327,11.7,
56.337,11.77,
56.506,,15.25
56.516,,15.25
56.526,,15.23
56.536,,15.25
56.546,,15.27
56.556,,15.23
56.566,,15.23
56.576,,15.23
56.567,12.48,
56.577,12.59,
56.587,12.61,
56.597,12.66,
56.607,12.61,
56.617,12.61,
56.627,12.55,
56.637,12.64,
56.747,,15.71
56.757,,15.75
56.767,,15.77
56.777,,15.73
56.787,,15.79
56.797,,15.77
56.807,,15.84
56.817,,15.84
56.806,13.28,
56.816,13.33,
56.826,13.37,
56.836,13.26,
56.846,13.18,
56.856,13.15,
56.866,13.07,
56.876,13.05,
56.987,,16.73
56.997,,16.71
57.007,,16.65
57.017,,16.62
57.027,,16.58
57.037,,16.48
57.047,,16.5
57.057,,16.48
57.047,12.11,16.5
57.057,12.11,16.48
57.067,12.15,
57.077,12.07,
57.087,12.09,
57.097,12.02,
57.107,11.98,
57.117,11.91,
57.227,,16.25
57.237,,16.19
57.247,,16.19
57.257,,16.19
57.267,,16.21
57.277,,16.14
57.287,,16.17
57.297,,16.21
57.29,11.7,
57.3,11.7,
57.31,11.66,
57.32,11.62,
57.33,11.66,
57.34,11.61,
57.35,11.61,
57.36,11.59,
57.467,,16.31
57.477,,16.48
57.487,,16.67
57.497,,16.92
57.507,,17.07
57.517,,17.31
57.527,,17.35
57.537,,17.74
57.646,11.55,
57.656,11.66,
57.666,11.75,
57.676,11.91,
57.686,11.95,
57.696,12.04,
57.706,12.13,
57.716,12.18,
57.826,,18.04
57.836,,17.96
57.846,,17.91
57.856,,17.72
57.866,,17.59
57.876,,17.48
57.886,,17.35
57.896,,17.31
57.885,13.18,
57.895,13.16,
57.905,13.26,
57.915,13.47,
57.925,13.54,
57.935,13.56,
57.945,13.58,
57.955,13.54,
58.068,,17.01
58.078,,16.92
58.088,,16.92
58.098,,16.9
58.108,,16.84
58.118,,16.77
58.128,,16.77
58.138,,16.75
58.126,12.77,
58.136,12.73,
58.146,12.72,
58.156,12.64,
58.166,12.59,
58.176,12.53,
58.186,12.53,
58.196,12.51,
58.307,,16.88
58.317,,16.84
58.327,,16.79
58.337,,16.73
58.347,,16.62
58.357,,16.58
58.367,,16.56
58.377,,16.54
58.366,12.42,
58.376,12.38,
58.386,12.35,
58.396,12.4,
58.406,12.37,
58.416,12.31,
58.426,12.24,
58.436,12.17,
58.546,,16.21
58.556,,16.17
58.566,,16.12
58.576,,16.14
58.586,,16.14
58.596,,16.14
58.606,,16.1
58.616,,16.06
58.609,11.89,
58.619,11.88,
58.629,11.93,
58.639,11.95,
58.649,11.97,
58.659,12.04,
58.669,12.0,
58.679,12.0,
58.786,,17.03
58.796,,17.03
58.806,,17.01
58.816,,16.88
58.826,,16.84
58.836,,16.84
58.846,,16.77
58.856,,16.79
58.848,12.55,
58.858,12.53,
58.868,12.48,
58.878,12.38,
58.888,12.44,
58.898,12.51,
58.908,12.53,
58.918,12.64,
59.148,12.24,
59.158,12.18,
59.168,12.17,
59.178,12.13,
59.188,12.11,
59.198,12.04,
59.208,12.04,
59.218,12.0,
59.208,12.04,16.14
59.218,12.0,16.19
59.228,,16.12
59.238,,16.12
59.248,,16.12
59.258,,16.12
59.268,,16.1
59.278,,16.08
59.447,11.55,
59.457,11.52,
59.467,11.52,
59.477,11.5,
59.487,11.45,
59.497,11.45,
59.507,11.39,
59.517,11.38,
59.508,,16.44
59.518,,16.44
59.528,,16.44
59.538,,16.39
59.548,,16.35
59.558,,16.31
59.568,,16.31
59.578,,16.29
59.687,11.32,
59.697,11.31,
59.707,11.27,
59.717,11.29,
59.727,11.31,
59.737,11.27,
59.747,11.23,
59.757,11.29,
59.747,11.23,16.39
59.757,11.29,16.37
59.767,,16.39
59.777,,16.33
59.787,,16.29
59.797,,16.27
59.807,,16.33
59.817,,16.25
59.99,11.2,
60.0,11.18,
60.01,11.18,
60.02,11.16,
60.03,11.2,
60.04,11.2,
60.05,11.23,
60.06,11.23,
60.046,,15.92
60.056,,15.92
60.066,,15.92
60.076,,15.92
60.086,,15.9
60.096,,15.88
60.106,,15.9
60.116,,15.88
60.227,11.48,
60.237,11.45,
60.247,11.41,
60.257,11.39,
60.267,11.39,
60.277,11.39,
60.287,11.36,
60.297,11.36,
60.287,11.36,16.23
60.297,11.36,16.17
60.307,,16.14
60.317,,16.17
60.327,,16.23
60.337,,16.14
60.347,,16.12
60.357,,16.1
60.468,11.08,
60.478,11.06,
